dataset_name,num_output_classes,num_input_channels,mean,std,CHECKPOINT_PATH,DATE_FORMAT,TIME_NOW,device,EPOCH,SAVE_EPOCH,shuffle,EARLY_STOP_EPOCH,EARLY_STOP_ACC,MILESTONES,batch_size,test_batch_size,lr,momentum,warm,tolerance,weight_decay,rnd_aug,loss,net,depth,width,alpha,activation,bias,bn,custom_layer,custom_width,kernel_dim,stride_length,padding,resnet_version,directory,resume,xid,pid,normalize_dist,bound_batch_size,bound_num_batches,rank_bound_version,trial,optimizer
CIFAR10,10,3,"(0.5070751592371323, 0.48654887331495095, 0.4409178433670343)","(0.2673342858792401, 0.2564384629170883, 0.27615047132568404)",checkpoint,%A_%d_%B_%Y_%Hh_%Mm_%Ss,Friday_26_August_2022_13h_02m_09s,cuda,500,10,TRUE,50,0.15,"[60, 100, 200]",4,128,0.001,0,1,0.001,0,FALSE,CE,mlp,10,100,1,relu,TRUE,TRUE,5,100,3,1,1,18,./results/,FALSE,2669,0,,,,,,SGD
CIFAR10,10,3,"(0.5070751592371323, 0.48654887331495095, 0.4409178433670343)","(0.2673342858792401, 0.2564384629170883, 0.27615047132568404)",checkpoint,%A_%d_%B_%Y_%Hh_%Mm_%Ss,Friday_26_August_2022_13h_02m_11s,cuda,500,10,TRUE,50,0.15,"[60, 100, 200]",4,128,0.001,0,1,0.001,0.0001,FALSE,CE,mlp,10,100,1,relu,TRUE,TRUE,5,100,3,1,1,18,./results/,FALSE,2670,0,,,,,,SGD
CIFAR10,10,3,"(0.5070751592371323, 0.48654887331495095, 0.4409178433670343)","(0.2673342858792401, 0.2564384629170883, 0.27615047132568404)",checkpoint,%A_%d_%B_%Y_%Hh_%Mm_%Ss,Friday_26_August_2022_13h_02m_12s,cuda,500,10,TRUE,50,0.15,"[60, 100, 200]",4,128,0.001,0,1,0.001,0.0002,FALSE,CE,mlp,10,100,1,relu,TRUE,TRUE,5,100,3,1,1,18,./results/,FALSE,2854,0,,,,,,SGD
CIFAR10,10,3,"(0.5070751592371323, 0.48654887331495095, 0.4409178433670343)","(0.2673342858792401, 0.2564384629170883, 0.27615047132568404)",checkpoint,%A_%d_%B_%Y_%Hh_%Mm_%Ss,Friday_26_August_2022_13h_02m_13s,cuda,500,10,TRUE,50,0.15,"[60, 100, 200]",4,128,0.001,0,1,0.001,0.0004,FALSE,CE,mlp,10,100,1,relu,TRUE,TRUE,5,100,3,1,1,18,./results/,FALSE,2672,0,,,,,,SGD
CIFAR10,10,3,"(0.5070751592371323, 0.48654887331495095, 0.4409178433670343)","(0.2673342858792401, 0.2564384629170883, 0.27615047132568404)",checkpoint,%A_%d_%B_%Y_%Hh_%Mm_%Ss,Friday_26_August_2022_13h_02m_14s,cuda,500,10,TRUE,50,0.15,"[60, 100, 200]",4,128,0.001,0,1,0.001,0.0008,FALSE,CE,mlp,10,100,1,relu,TRUE,TRUE,5,100,3,1,1,18,./results/,FALSE,2673,0,,,,,,SGD
CIFAR10,10,3,"(0.5070751592371323, 0.48654887331495095, 0.4409178433670343)","(0.2673342858792401, 0.2564384629170883, 0.27615047132568404)",checkpoint,%A_%d_%B_%Y_%Hh_%Mm_%Ss,Friday_26_August_2022_13h_02m_15s,cuda,500,10,TRUE,50,0.15,"[60, 100, 200]",4,128,0.001,0,1,0.001,0.006,FALSE,CE,mlp,10,100,1,relu,TRUE,TRUE,5,100,3,1,1,18,./results/,FALSE,2674,0,,,,,,SGD
CIFAR10,10,3,"(0.5070751592371323, 0.48654887331495095, 0.4409178433670343)","(0.2673342858792401, 0.2564384629170883, 0.27615047132568404)",checkpoint,%A_%d_%B_%Y_%Hh_%Mm_%Ss,Friday_26_August_2022_13h_02m_16s,cuda,500,10,TRUE,50,0.15,"[60, 100, 200]",4,128,0.01,0,1,0.001,0,FALSE,CE,mlp,10,100,1,relu,TRUE,TRUE,5,100,3,1,1,18,./results/,FALSE,2675,0,,,,,,SGD
CIFAR10,10,3,"(0.5070751592371323, 0.48654887331495095, 0.4409178433670343)","(0.2673342858792401, 0.2564384629170883, 0.27615047132568404)",checkpoint,%A_%d_%B_%Y_%Hh_%Mm_%Ss,Friday_26_August_2022_13h_02m_18s,cuda,500,10,TRUE,50,0.15,"[60, 100, 200]",4,128,0.01,0,1,0.001,0.0001,FALSE,CE,mlp,10,100,1,relu,TRUE,TRUE,5,100,3,1,1,18,./results/,FALSE,2852,0,,,,,,SGD
CIFAR10,10,3,"(0.5070751592371323, 0.48654887331495095, 0.4409178433670343)","(0.2673342858792401, 0.2564384629170883, 0.27615047132568404)",checkpoint,%A_%d_%B_%Y_%Hh_%Mm_%Ss,Friday_26_August_2022_13h_02m_20s,cuda,500,10,TRUE,50,0.15,"[60, 100, 200]",4,128,0.01,0,1,0.001,0.0002,FALSE,CE,mlp,10,100,1,relu,TRUE,TRUE,5,100,3,1,1,18,./results/,FALSE,2677,0,,,,,,SGD
CIFAR10,10,3,"(0.5070751592371323, 0.48654887331495095, 0.4409178433670343)","(0.2673342858792401, 0.2564384629170883, 0.27615047132568404)",checkpoint,%A_%d_%B_%Y_%Hh_%Mm_%Ss,Friday_26_August_2022_13h_02m_21s,cuda,500,10,TRUE,50,0.15,"[60, 100, 200]",4,128,0.01,0,1,0.001,0.0004,FALSE,CE,mlp,10,100,1,relu,TRUE,TRUE,5,100,3,1,1,18,./results/,FALSE,2678,0,,,,,,SGD
